Range start,Value,Red,Green,Blue,Alpha
129,1959.0,2368.0,2237.0,2915.0,0.0
130,1981.0,2348.0,2268.0,2892.0,0.0
131,1972.0,2404.0,2289.0,2582.0,0.0
132,2008.0,2449.0,2330.0,2361.0,0.0
133,2079.0,2458.0,2259.0,2554.0,0.0
134,2129.0,2528.0,2410.0,2664.0,0.0
135,2201.0,2631.0,2405.0,2533.0,0.0
136,2106.0,2499.0,2673.0,2561.0,0.0
137,2387.0,2778.0,2777.0,2487.0,0.0
138,2602.0,2945.0,3050.0,2468.0,0.0
139,2531.0,3082.0,3082.0,2561.0,0.0
140,2714.0,3248.0,3397.0,2412.0,0.0
141,2649.0,3232.0,3428.0,2451.0,0.0
142,2716.0,3375.0,3576.0,2474.0,0.0
143,2669.0,3520.0,3656.0,2373.0,0.0
144,2850.0,3625.0,3816.0,2327.0,0.0
145,2903.0,3671.0,4019.0,2328.0,0.0
146,2840.0,3835.0,4147.0,2434.0,0.0
147,2973.0,4124.0,4413.0,2502.0,0.0
148,3186.0,4214.0,4717.0,2467.0,0.0
149,3448.0,4378.0,5098.0,2711.0,0.0
150,3707.0,4520.0,5473.0,2819.0,0.0
151,3865.0,4513.0,5592.0,3042.0,0.0
152,4100.0,4428.0,5827.0,3046.0,0.0
153,4244.0,4600.0,6010.0,3324.0,0.0
154,4451.0,4813.0,6118.0,3387.0,0.0
155,4489.0,4813.0,6106.0,3575.0,0.0
156,4530.0,4949.0,6613.0,3773.0,0.0
157,4565.0,5375.0,6975.0,3630.0,0.0
158,4677.0,5621.0,7179.0,3561.0,0.0
159,4704.0,5748.0,7287.0,3513.0,0.0
160,4877.0,6042.0,7535.0,3651.0,0.0
161,5058.0,6279.0,7849.0,3675.0,0.0
162,5068.0,6430.0,8130.0,3873.0,0.0
163,5402.0,6383.0,8674.0,4073.0,0.0
164,5698.0,6163.0,9250.0,4117.0,0.0
165,5684.0,6097.0,9919.0,4334.0,0.0
166,5658.0,5947.0,10648.0,4535.0,0.0
167,5630.0,5905.0,10738.0,4787.0,0.0
168,5720.0,6049.0,10903.0,4684.0,0.0
169,5641.0,6215.0,10287.0,4689.0,0.0
170,5820.0,6609.0,9474.0,4786.0,0.0
171,5993.0,6655.0,8800.0,4709.0,0.0
172,5831.0,6470.0,8605.0,4323.0,0.0
173,5732.0,6658.0,7940.0,4117.0,0.0
174,5684.0,7043.0,7148.0,3996.0,0.0
175,5338.0,6809.0,6798.0,3788.0,0.0
176,5236.0,6540.0,6402.0,3762.0,0.0
177,5334.0,6294.0,6480.0,3863.0,0.0
178,5199.0,5815.0,6616.0,3992.0,0.0
179,5409.0,5383.0,6843.0,3972.0,0.0
180,5831.0,5000.0,7575.0,4011.0,0.0
181,6473.0,4854.0,8055.0,4211.0,0.0
182,7037.0,4904.0,8625.0,4444.0,0.0
183,7164.0,4685.0,8758.0,4576.0,0.0
184,7360.0,4997.0,8788.0,4667.0,0.0
185,7484.0,5276.0,8370.0,4816.0,0.0
186,7841.0,5475.0,8282.0,4976.0,0.0
187,8093.0,5657.0,8229.0,5022.0,0.0
188,8502.0,6014.0,8143.0,4955.0,0.0
189,8595.0,6225.0,7896.0,4848.0,0.0
190,8572.0,6330.0,7745.0,4991.0,0.0
191,9368.0,7143.0,7706.0,4814.0,0.0
192,9917.0,7672.0,7938.0,4653.0,0.0
193,10443.0,8459.0,7816.0,4467.0,0.0
194,11059.0,9378.0,7571.0,4204.0,0.0
195,12209.0,10577.0,7805.0,4152.0,0.0
196,12905.0,11541.0,7545.0,4071.0,0.0
197,13015.0,12021.0,6899.0,4128.0,0.0
198,12667.0,11924.0,6329.0,4339.0,0.0
199,11886.0,11508.0,6109.0,4354.0,0.0
200,11740.0,11433.0,6077.0,4180.0,0.0
201,11251.0,11171.0,5771.0,4224.0,0.0
202,10946.0,11058.0,5261.0,4373.0,0.0
203,11018.0,11104.0,5150.0,4304.0,0.0
204,10857.0,10873.0,5111.0,4158.0,0.0
205,10155.0,10199.0,4898.0,4100.0,0.0
206,9574.0,9551.0,5094.0,4118.0,0.0
207,9355.0,9232.0,5037.0,4033.0,0.0
208,9144.0,9075.0,4929.0,3893.0,0.0
209,9572.0,9492.0,4937.0,3865.0,0.0
210,9795.0,9790.0,4703.0,3714.0,0.0
211,9322.0,9308.0,4648.0,3841.0,0.0
212,8860.0,8778.0,4791.0,3752.0,0.0
213,8017.0,8189.0,4593.0,3758.0,0.0
214,7835.0,7983.0,4717.0,3798.0,0.0
215,7702.0,7783.0,4717.0,3736.0,0.0
216,7782.0,7902.0,4544.0,3799.0,0.0
217,8193.0,8488.0,4239.0,3776.0,0.0
218,8574.0,9060.0,4259.0,3631.0,0.0
219,8730.0,9091.0,4410.0,3623.0,0.0
220,8609.0,9094.0,4640.0,3837.0,0.0
221,9201.0,9749.0,4865.0,4193.0,0.0
222,10416.0,11266.0,5378.0,4516.0,0.0
223,11066.0,11979.0,5683.0,4942.0,0.0
224,11165.0,12816.0,6207.0,5610.0,0.0
225,12936.0,15060.0,7501.0,5960.0,0.0
226,13306.0,15005.0,8671.0,6167.0,0.0
227,12920.0,13645.0,9509.0,6949.0,0.0
228,11667.0,14038.0,8922.0,7090.0,0.0
229,12436.0,12981.0,10946.0,8111.0,0.0
230,12780.0,12483.0,10492.0,8038.0,0.0
231,11176.0,12333.0,8886.0,8233.0,0.0
232,10420.0,12491.0,9358.0,8450.0,0.0
233,10697.0,11660.0,9584.0,8704.0,0.0
234,10137.0,9746.0,9039.0,9281.0,0.0
235,9889.0,8417.0,7659.0,10060.0,0.0
236,10170.0,7669.0,6814.0,10646.0,0.0
237,9158.0,6829.0,6800.0,9370.0,0.0
238,7874.0,7090.0,6930.0,7618.0,0.0
239,7145.0,8349.0,6665.0,7656.0,0.0
240,7621.0,9413.0,7271.0,8833.0,0.0
241,9069.0,6119.0,8962.0,9983.0,0.0
242,10287.0,4000.0,10226.0,6580.0,0.0
243,7316.0,3225.0,7251.0,4825.0,0.0
244,7201.0,4788.0,7172.0,5669.0,0.0
245,4488.0,3370.0,4450.0,3600.0,0.0
246,1914.0,1631.0,1905.0,1690.0,0.0
247,555.0,499.0,555.0,501.0,0.0
248,48.0,45.0,48.0,47.0,0.0
249,8.0,6.0,8.0,6.0,0.0
250,1.0,1.0,0.0,0.0,0.0
251,1.0,1.0,0.0,0.0,0.0
252,1.0,1.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0
254,1.0,1.0,0.0,0.0,0.0
255,1.0,1.0,0.0,0.0,1050625.0
